Local time,Open,High,Low,Close,Volume
18.08.2025 04:52:00.000 GMT+0200,3343.005,3343.615,3343.005,3343.065,5640
18.08.2025 04:53:00.000 GMT+0200,3343.055,3343.255,3342.835,3342.835,6240
18.08.2025 04:54:00.000 GMT+0200,3342.805,3342.995,3342.775,3342.975,3120
18.08.2025 04:55:00.000 GMT+0200,3342.875,3343.145,3342.865,3343.025,4800
18.08.2025 04:56:00.000 GMT+0200,3343.045,3343.145,3342.945,3343.115,5040
18.08.2025 04:57:00.000 GMT+0200,3343.095,3343.335,3343.005,3343.335,3000
18.08.2025 04:58:00.000 GMT+0200,3343.425,3343.465,3343.235,3343.335,7680
18.08.2025 04:59:00.000 GMT+0200,3343.335,3343.355,3343.185,3343.215,3480
18.08.2025 05:00:00.000 GMT+0200,3343.155,3344.185,3343.125,3344.145,12720
18.08.2025 05:01:00.000 GMT+0200,3344.175,3344.435,3343.785,3344.425,8370
18.08.2025 05:02:00.000 GMT+0200,3344.445,3345.215,3344.375,3344.995,13090
18.08.2025 05:03:00.000 GMT+0200,3344.995,3345.745,3344.945,3345.675,10590
18.08.2025 05:04:00.000 GMT+0200,3345.595,3345.615,3345.005,3345.045,7380
18.08.2025 05:05:00.000 GMT+0200,3345.015,3345.325,3344.825,3345.235,8010
18.08.2025 05:06:00.000 GMT+0200,3345.285,3345.325,3344.875,3345.105,7170
18.08.2025 05:07:00.000 GMT+0200,3345.125,3345.155,3344.795,3344.925,4230
18.08.2025 05:08:00.000 GMT+0200,3344.915,3344.915,3344.255,3344.265,3840
